token,headword,tokenRank,headRank,tokenBand,headBand,tokenFreq,headFreq,PoS
yeah,yes,123,69,01k,01k,83019,145174,Intj
d,have,124,8,01k,01k,82978,1344286,Verb
good,good,125,106,01k,01k,82337,84383,Adj
through,through,126,96,01k,01k,81567,93952,Prep
us,we,127,23,01k,01k,80993,531030,Pron
make,make,128,45,01k,01k,78976,223856,Verb
last,last,129,111,01k,01k,75404,75835,Num
off,off,130,112,01k,01k,74614,75340,Adv
still,still,131,119,01k,01k,72324,72924,Adv
take,take,132,58,01k,01k,70757,177137,Verb
ll,will,133,30,01k,01k,69419,320814,Verb
must,must,134,124,01k,01k,69281,70196,Verb
own,own,135,129,01k,01k,69129,69129,Detr
here,here,136,132,01k,01k,68212,68212,Adv
both,both,137,134,01k,01k,67464,67464,Detr
too,too,138,136,01k,01k,67296,67296,Adv
say,say,139,31,01k,01k,67283,320400,Verb
come,come,140,68,01k,01k,66869,147672,Verb
day,day,141,89,01k,01k,66764,108153,Noun
used,use,142,54,01k,01k,66353,186734,Verb
mr,mister,143,138,01k,01k,66113,66659,Noun
long,long,144,107,01k,01k,65198,83099,Adj
going,go,145,41,01k,01k,64180,244339,Verb
under,under,146,146,01k,01k,63657,63657,Prep
old,old,147,118,01k,01k,63606,74043,Adj
government,govern,148,110,01k,01k,62997,77023,Noun
little,little,149,149,01k,01k,62924,63013,Adj
use,use,150,54,01k,01k,62827,186734,Verb
same,same,151,153,01k,01k,61293,61363,Detr
man,man,152,93,01k,01k,60921,99863,Noun
each,each,153,158,01k,01k,60495,60495,Detr
however,however,154,162,01k,01k,59743,59743,Adv
might,might,155,163,01k,01k,59339,59502,Verb
another,another,156,165,01k,01k,59190,59190,Detr
world,world,157,157,01k,01k,59097,60540,Noun
yes,yes,158,69,01k,01k,58721,145174,Intj
put,put,159,133,01k,01k,57803,68149,Verb
life,life,160,168,01k,01k,57767,58217,Noun
again,again,161,175,01k,01k,57536,57536,Adv
part,part,162,109,01k,01k,56567,78816,Noun
against,against,163,185,01k,01k,55331,55331,Prep
want,want,164,99,01k,01k,55269,92122,Verb
need,need,165,98,01k,01k,54905,93170,Verb
while,while,166,156,01k,01k,54818,60594,Conj
thought,think,167,61,01k,01k,53957,167038,Verb
per,per,168,194,01k,01k,53839,53839,Prep
never,never,169,198,01k,01k,53557,53557,Adv
look,look,170,78,01k,01k,52564,123683,Verb
home,home,171,161,01k,01k,52098,59801,Noun
house,house,172,121,01k,01k,51400,71931,Noun
end,end,173,135,01k,01k,50723,67367,Noun
four,four,174,127,01k,01k,50519,69820,Num
does,do,175,22,01k,01k,50189,539713,Verb
something,some,176,35,01k,01k,50186,273968,Pron
course,course,177,176,01k,01k,49397,57446,Adv
number,number,178,152,01k,01k,49068,61788,Noun
since,since,179,214,01k,01k,49016,49016,Conj
why,why,180,217,01k,01k,48690,48729,Adv
place,place,181,128,01k,01k,48498,69769,Noun
away,away,182,220,01k,01k,48290,48340,Adv
different,different,183,213,01k,01k,47672,49192,Adj
left,left,184,224,01k,01k,47564,47844,Verb
found,find,185,92,01k,01k,47479,101596,Verb
great,great,186,123,01k,01k,47380,71452,Adj
really,really,187,229,01k,01k,46482,46482,Adv
local,local,188,210,01k,01k,46302,49693,Adj
went,go,189,41,01k,01k,45876,244339,Verb
children,child,190,117,01k,01k,45837,74155,Noun
set,set,191,164,01k,01k,45793,59495,Verb
within,within,192,234,01k,01k,45778,45778,Prep
case,case,193,145,01k,01k,45714,63902,Noun
five,five,194,137,01k,01k,45670,67137,Num
next,next,195,236,01k,01k,45326,45326,Num
without,without,196,239,01k,01k,44831,44831,Prep
came,come,197,68,01k,01k,44829,147672,Verb
system,system,198,144,01k,01k,44610,64621,Noun
always,always,199,240,01k,01k,44440,44467,Adv
high,high,200,114,01k,01k,44215,75092,Adj
small,small,201,199,01k,01k,44081,52520,Adj
give,give,202,74,01k,01k,44058,130510,Verb
though,though,203,242,01k,01k,44053,44170,Conj
didn,do,204,22,01k,01k,43893,539713,Verb
during,during,205,247,01k,01k,43538,43538,Prep
around,around,206,248,01k,01k,43483,43483,Adv
few,few,207,230,01k,01k,43374,46471,Detr
mean,mean,208,100,01k,01k,43026,91891,Verb
second,second,209,207,01k,01k,42980,50903,Num
although,although,210,254,01k,01k,42784,42784,Conj
social,social,211,244,01k,01k,42223,43851,Adj
rather,rather,212,265,01k,01k,41811,41811,Adv
group,group,213,147,01k,01k,41808,63556,Noun
given,give,214,74,01k,01k,41278,130510,Verb
party,party,215,192,01k,01k,41276,53980,Noun
point,point,216,143,01k,01k,41057,65397,Noun
things,thing,217,113,01k,01k,40994,75134,Noun
find,find,218,92,01k,01k,40953,101596,Verb
general,general,219,190,01k,01k,40803,54558,Adj
far,far,220,268,01k,01k,40619,41207,Adv
state,state,221,159,01k,01k,40173,60399,Noun
until,until,222,277,01k,01k,40130,40130,Conj
company,company,223,115,01k,01k,39978,74770,Noun
quite,quite,224,278,01k,01k,39926,39926,Adv
says,say,225,31,01k,01k,39355,320400,Verb
public,public,226,272,01k,01k,39238,40910,Adj
every,every,227,108,01k,01k,39189,80820,ArtP
less,less,228,267,01k,01k,39059,41431,Adv
important,important,229,273,01k,01k,39029,40742,Adj
information,inform,230,233,01k,01k,38639,46067,Noun
school,school,231,189,01k,01k,38482,54983,Noun
later,late,232,140,01k,01k,38463,65876,Adv
cent,cent,233,290,01k,01k,38441,38721,Noun
women,woman,234,155,01k,01k,38390,61103,Noun
national,nation,235,195,01k,01k,38057,53721,Adj
half,half,236,298,01k,01k,37828,38271,Detr
men,man,237,93,01k,01k,37395,99863,Noun
help,help,238,171,01k,01k,37382,57918,Verb
money,money,239,303,01k,01k,37338,37920,Noun
once,once,240,309,01k,01k,37332,37332,Adv
hand,hand,241,151,01k,01k,37260,62261,Noun
took,take,242,58,01k,01k,37254,177137,Verb
often,often,243,307,01k,01k,37227,37466,Adv
head,head,244,209,01k,01k,36990,49983,Noun
fact,fact,245,260,01k,01k,36933,42194,Noun
seen,see,246,53,01k,01k,36406,188145,Verb
night,night,247,287,01k,01k,36221,39187,Noun
best,best,248,320,01k,01k,36106,36106,Adj
water,water,249,280,01k,01k,36096,39600,Noun
example,example,250,250,01k,01k,36095,43151,Noun
further,further,251,316,01k,01k,35820,36372,Adv
large,large,252,182,01k,01k,35641,56494,Adj
business,business,253,285,01k,01k,35518,39355,Noun
whether,whether,254,324,01k,01k,35491,35491,Conj
told,tell,255,116,01k,01k,35479,74466,Verb
better,better,256,328,01k,01k,35155,35361,Adj
called,call,257,142,01k,01k,35116,65433,Verb
area,area,258,166,01k,01k,35024,58309,Noun
order,order,259,226,01k,01k,34787,47056,Noun
taken,take,260,58,01k,01k,34666,177137,Verb
form,form,261,184,01k,01k,34655,55495,Noun
done,do,262,22,01k,01k,34359,539713,Verb
having,have,263,8,01k,01k,34257,1344286,Verb
side,side,264,259,01k,01k,34070,42437,Noun
family,family,265,257,01k,01k,34059,42642,Noun
yet,yet,266,342,01k,01k,33985,33985,Adv
thing,thing,267,113,01k,01k,33965,75134,Noun
early,early,268,203,01k,01k,33795,52148,Adj
face,face,269,222,01k,01k,33792,48035,Noun
possible,possible,270,174,01k,01k,33682,57539,Adj
let,let,271,314,01k,01k,33619,36804,Verb
perhaps,perhaps,272,347,01k,01k,33605,33605,Adv
already,already,273,351,01k,01k,33338,33338,Adv
week,week,274,206,01k,01k,32956,50967,Noun
six,six,275,232,01k,01k,32723,46324,Num
full,full,276,252,01k,01k,32700,42993,Adj
power,power,277,215,01k,01k,32602,48931,Noun
young,young,278,269,01k,01k,32433,41165,Adj
nothing,no,279,36,01k,01k,32377,273619,Pron
looked,look,280,78,01k,01k,32283,123683,Verb
days,day,281,89,01k,01k,32215,108153,Noun
development,develop,282,130,01k,01k,32169,68939,Noun
round,round,283,327,01k,01k,32157,35362,Noun
country,country,284,218,01k,01k,32036,48633,Noun
room,room,285,306,01k,01k,31919,37721,Noun
change,change,286,125,01k,01k,31759,69961,Verb
council,council,287,276,01k,01k,31375,40276,Noun
open,open,288,187,01k,01k,31369,55123,Adj
service,service,289,179,01k,01k,31319,57132,Noun
asked,ask,290,169,01k,01k,31277,58170,Verb
enough,enough,291,386,01k,01k,31218,31218,Adv
working,work,292,59,01k,01k,31133,168597,Verb
market,market,293,249,01k,01k,31111,43184,Noun
support,support,294,228,01k,01k,30777,46681,Noun
making,make,295,45,01k,01k,30649,223856,Verb
war,war,296,354,01k,01k,30542,33257,Noun
political,politics,297,241,01k,01k,30538,44381,Adj
almost,almost,298,397,01k,01k,30437,30437,Adv
least,least,299,398,01k,01k,30394,30394,Adv
whole,whole,300,362,01k,01k,30327,32821,Adj
together,together,301,405,01k,01k,30074,30175,Adv
able,able,302,225,01k,01k,29930,47760,Adj
become,become,303,139,01k,01k,29759,66229,Verb
members,member,304,196,01k,01k,29733,53679,Noun
times,time,305,50,01k,01k,29521,197715,Noun
control,control,306,255,01k,01k,29367,42766,Noun
law,law,307,319,01k,01k,29163,36127,Noun
tell,tell,308,116,01k,01k,29112,74466,Verb
himself,he,309,10,01k,01k,29037,1234521,Pron
problem,problem,310,178,01k,01k,29015,57176,Noun
major,major,311,429,01k,01k,28956,28973,Adj
particular,particular,312,205,01k,01k,28813,51285,Adj
level,level,313,264,01k,01k,28806,41949,Noun
am,be,314,2,01k,01k,28780,4725359,Abbr
court,court,315,332,01k,01k,28734,34995,Noun
interest,interest,316,172,01k,01k,28033,57817,Noun
lot,lot,317,367,01k,01k,28030,32454,Noun
ever,ever,318,450,01k,01k,27923,27923,Adv
doing,do,319,22,01k,01k,27921,539713,Verb
labour,labour,320,412,01k,01k,27695,29745,Noun
others,other,321,56,01k,01k,27584,182034,Adj
act,act,322,122,01k,01k,27545,71517,Noun
top,top,323,404,01k,01k,27523,30222,Noun
anything,any,324,55,01k,01k,27512,185271,Pron
held,hold,325,173,01k,01k,27493,57772,Verb
report,report,326,181,01k,01k,27486,56679,Noun
car,car,327,333,01k,01k,27465,34817,Noun
eyes,eye,328,281,01k,01k,27460,39570,Noun
mind,mind,329,356,01k,01k,27459,33146,Noun
looking,look,330,78,01k,01k,27439,123683,Verb
bit,bit,331,393,01k,01k,27408,30766,Noun
police,police,332,439,01k,01k,27282,28299,Noun
towards,toward,333,435,01k,01k,27277,28443,Prep
known,know,334,52,01k,01k,27274,190679,Verb
problems,problem,335,178,01k,01k,27208,57176,Noun
won,win,336,212,01k,01k,27206,49396,Verb
either,either,337,457,01k,01k,27190,27190,Adv
road,road,338,365,01k,01k,27128,32507,Noun
available,available,339,419,01k,01k,27058,29446,Adj
based,base,340,294,01k,01k,27033,38376,Verb
keep,keep,341,204,01k,01k,26982,52074,Verb
sort,sort,342,406,01k,01k,26965,29917,Noun
research,research,343,387,01k,01k,26809,31182,Noun
following,follow,344,148,01k,01k,26713,63368,Verb
policy,policy,345,325,01k,01k,26684,35464,Noun
terms,term,346,227,01k,01k,26577,46982,Noun
probably,probably,347,401,01k,01k,26544,30302,Adv
show,show,348,126,01k,01k,26489,69875,Verb
means,mean,349,100,01k,01k,26440,91891,Verb
line,line,350,297,01k,01k,26290,38277,Noun
felt,feel,351,120,01k,01k,26195,72624,Verb
south,south,352,471,01k,01k,26057,26157,Noun
education,educate,353,323,01k,01k,26052,35700,Noun
today,today,354,473,01k,01k,26043,26083,Adv
name,name,355,262,01k,01k,25908,42072,Noun
past,past,356,477,01k,01k,25906,25935,Adj
question,question,357,243,01k,01k,25818,44161,Noun
million,million,358,438,01k,01k,25642,28347,Num
clear,clear,359,221,01k,01k,25587,48239,Adj
present,present,360,465,01k,01k,25478,26444,Adj
white,white,361,460,01k,01k,25473,26895,Adj
actually,actual,362,363,01k,01k,25457,32596,Adv
big,big,363,346,01k,01k,25414,33663,Adj
feel,feel,364,120,01k,01k,25410,72624,Verb
above,above,365,487,01k,01k,25370,25370,Prep
saw,see,366,53,01k,01k,25305,188145,Verb
view,view,367,308,01k,01k,25247,37439,Noun
black,black,368,452,01k,01k,25234,27758,Adj
mother,mother,369,427,01k,01k,25232,28992,Noun
office,office,370,417,01k,01k,25160,29466,Noun
person,person,371,211,01k,01k,25133,49536,Noun
book,book,372,283,01k,01k,25105,39443,Noun
main,main,373,359,01k,01k,25087,33065,Adj
body,body,374,357,01k,01k,25058,33137,Noun
health,health,375,423,01k,01k,25008,29348,Noun
north,north,376,470,01k,01k,24994,26215,Noun
care,care,377,246,01k,01k,24927,43629,Noun
services,service,378,179,01k,01k,24909,57132,Noun
using,use,379,54,01k,01k,24521,186734,Verb
child,child,380,117,01k,01k,24517,74155,Noun
months,month,381,251,01k,01k,24461,43031,Noun
century,century,382,449,01k,01k,24378,27940,Noun
period,period,383,410,01k,01k,24318,29784,Noun
economic,economy,384,253,01k,01k,24168,42852,Adj
hard,hard,385,422,01k,01k,24159,29355,Adj
minister,minister,386,371,01k,01k,24127,32026,Noun
across,across,387,514,01k,01k,24122,24122,Prep
door,door,388,380,01k,01k,24033,31585,Noun
free,free,389,349,01k,01k,24015,33486,Adj
including,include,390,167,01k,01k,24008,58265,Prep
knew,know,391,52,01k,01k,24002,190679,Verb
voice,voice,392,458,01k,01k,23987,27102,Noun
centre,centre,393,197,01k,01k,23871,53625,Noun
sure,sure,394,395,01k,01k,23820,30586,Adj
words,word,395,238,01k,01k,23811,44835,Noun
run,run,396,193,01k,01k,23795,53862,Verb
light,light,397,352,01k,01k,23795,33318,Noun
start,start,398,202,01k,01k,23781,52225,Verb
kind,kind,399,434,01k,01k,23700,28465,Noun
city,city,400,447,01k,01k,23670,28015,Noun
society,society,401,446,01k,01k,23603,28094,Noun
west,west,402,511,01k,01k,23588,24211,Noun
along,along,403,529,01k,01k,23546,23546,Prep
subject,subject,404,388,01k,01k,23493,31162,Noun
short,short,405,433,01k,01k,23481,28471,Adj
several,several,406,531,01k,01k,23452,23499,Detr
class,class,407,403,01k,01k,23396,30261,Noun
real,real,408,330,01k,01k,23356,35217,Adj
effect,effect,409,329,01k,01k,23354,35262,Noun
god,god,410,483,01k,01k,23301,25498,Noun
areas,area,411,166,01k,01k,23285,58309,Noun
father,father,412,501,01k,01k,23280,24706,Noun
community,community,413,455,01k,01k,23263,27410,Noun
itself,it,414,9,01k,01k,23257,1238613,Pron
turned,turn,415,191,01k,01k,23182,54522,Verb
upon,upon,416,538,01k,01k,23054,23054,Prep
themselves,they,417,14,01k,01k,23026,868761,Pron
likely,likely,418,408,01k,01k,23010,29837,Adj
therefore,therefore,419,541,01k,01k,22984,22984,Adv
position,position,420,440,01k,01k,22876,28270,Noun
love,love,421,339,01k,01k,22786,34331,Verb
staff,staff,422,512,01k,01k,22682,24188,Noun
process,process,423,321,01k,01k,22581,35970,Noun
job,job,424,364,01k,01k,22577,32521,Noun
behind,behind,425,550,01k,01k,22552,22565,Prep
read,read,426,237,01k,01k,22524,45041,Verb
began,begin,427,208,01k,01k,22496,50518,Verb
among,among,428,459,01k,01k,22448,26895,Prep
age,age,429,358,01k,01k,22418,33083,Noun
future,future,430,516,01k,01k,22404,24053,Noun
woman,woman,431,155,01k,01k,22392,61103,Noun
third,three,432,85,01k,01k,22318,110292,Num
pay,pay,433,177,01k,01k,22253,57431,Verb
matter,matter,434,382,01k,01k,22239,31530,Noun
wanted,want,435,99,01k,01k,22182,92122,Verb
provide,provide,436,183,01k,01k,22177,56004,Verb
international,international,437,527,01k,01k,22155,23608,Adj
action,act,438,122,01k,01k,22125,71517,Noun
taking,take,439,58,01k,01k,22120,177137,Verb
seemed,seem,440,154,01k,01k,22105,61164,Verb
management,manage,441,160,01k,01k,22092,59902,Noun
cost,cost,442,279,01k,01k,22070,39845,Noun
study,study,443,263,01k,01k,22013,42038,Noun
gave,give,444,74,01k,01k,21982,130510,Verb
result,result,445,245,01k,01k,21965,43835,Noun
front,front,446,525,01k,01k,21955,23674,Prep
special,special,447,334,01k,01k,21952,34759,Adj
play,play,448,150,01k,01k,21891,62427,Verb
land,land,449,428,01k,01k,21822,28983,Noun
certain,certain,450,231,01k,01k,21818,46457,Adj
became,become,451,139,01k,01k,21778,66229,Verb
particularly,particular,452,205,01k,01k,21699,51285,Adv
sense,sense,453,567,01k,01k,21690,21877,Noun
difficult,difficult,454,337,01k,01k,21648,34653,Adj
cannot,can,455,37,01k,01k,21478,263030,AuxV
close,close,456,361,01k,01k,21475,32845,Adj
outside,out,457,44,01k,01k,21221,230247,Prep
evidence,evidence,458,574,01k,01k,21204,21535,Noun
experience,experience,459,375,01k,01k,21192,31829,Noun
idea,idea,460,369,01k,01k,21140,32044,Noun
range,range,461,493,01k,01k,21108,24999,Noun
mrs,mrs,462,581,01k,01k,21020,21199,Noun
turn,turn,463,191,01k,01k,20991,54522,Verb
try,try,464,186,01k,01k,20961,55212,Verb
moment,moment,465,498,01k,01k,20883,24753,Noun
seems,seem,466,154,01k,01k,20784,61164,Verb
meeting,meet,467,188,01k,01k,20757,55096,Noun
east,east,468,580,01k,01k,20740,21258,Noun
training,train,469,295,01k,01k,20718,38332,Noun
twenty,twenty,470,522,01k,01k,20642,23825,Num
ten,ten,471,547,01k,01k,20618,22736,Num
trade,trade,472,416,01k,01k,20607,29542,Noun
believe,believe,473,326,01k,01k,20547,35364,Verb
church,church,474,519,01k,01k,20461,23969,Noun
death,death,475,544,01k,01k,20324,22861,Noun
morning,morning,476,582,01k,01k,20263,21139,Noun
thus,thus,477,608,01k,01k,20231,20231,Adv
common,common,478,515,01k,01k,20225,24094,Adj
air,air,479,586,01k,01k,20124,21064,Noun
low,low,480,600,01k,01k,20114,20456,Adj
table,table,481,536,01k,01k,20086,23270,Noun
single,single,482,573,01k,01k,20069,21564,Adj
industry,industry,483,296,01k,01k,20042,38313,Noun
late,late,484,140,01k,01k,20039,65876,Adj
needs,need,485,98,01k,01k,19966,93170,Verb
sometimes,some,486,35,01k,01k,19959,273968,Adv
else,else,487,482,01k,01k,19949,25557,Adv
rate,rate,488,335,01k,01k,19910,34668,Noun
leave,leave,489,317,01k,01k,19898,36304,Verb
soon,soon,490,572,01k,01k,19859,21607,Adv
shall,shall,491,598,01k,01k,19819,20468,Verb
move,move,492,141,01k,01k,19809,65658,Verb
word,word,493,238,01k,01k,19749,44835,Noun
coming,come,494,68,01k,01k,19712,147672,Verb
getting,get,495,47,01k,01k,19706,214216,Verb
involved,involve,496,315,01k,01k,19684,36441,Adj
human,human,497,520,01k,01k,19675,23849,Adj
brought,bring,498,256,01k,01k,19657,42675,Verb
wasn,be,499,2,01k,01k,19649,4725359,Verb
united,unite,500,595,01k,01k,19579,20599,Adj
team,team,501,521,01k,01k,19510,23833,Noun
building,build,502,200,01k,01k,19449,52472,Noun
groups,group,503,147,01k,01k,19412,63556,Noun
committee,committee,504,553,01k,01k,19412,22439,Noun
street,street,505,270,01k,01k,19410,41130,Noun
ago,ago,506,628,01k,01k,19394,19394,Adv
whose,who,507,43,01k,01k,19381,234518,Detr
yesterday,yesterday,508,630,01k,01k,19362,19382,Adv
central,centre,509,197,01k,01k,19358,53625,Adj
section,section,510,489,01k,01k,19353,25293,Noun
term,term,511,227,01k,01k,19281,46982,Noun
eight,eight,512,370,01k,01k,19227,32042,Num
call,call,513,142,01k,01k,19214,65433,Verb
history,history,514,373,01k,01k,19168,31992,Noun
language,language,515,555,01k,01k,19106,22426,Noun
price,price,516,374,01k,01k,19095,31924,Noun
changes,change,517,125,01k,01k,19076,69961,Noun
programme,programme,518,341,01k,01k,19061,34018,Noun
food,food,519,583,01k,01k,19036,21128,Noun
heard,hear,520,288,01k,01k,19019,39127,Verb
individual,individual,521,420,01k,01k,19008,29437,Adj
seven,seven,522,426,01k,01k,18976,29008,Num
self,self,523,604,01k,01k,18967,20372,Noun
lost,lose,524,399,01k,01k,18914,30388,Verb
usually,usual,525,384,01k,01k,18872,31240,Adv
hundred,hundred,526,542,01k,01k,18832,22978,Noun
type,type,527,453,01k,01k,18713,27722,Noun
ask,ask,528,169,01k,01k,18654,58170,Verb
near,near,529,299,01k,01k,18645,38128,Prep
hours,hour,530,366,01k,01k,18641,32467,Noun
member,member,531,196,01k,01k,18613,53679,Noun
cut,cut,532,441,01k,01k,18610,28239,Verb
gone,go,533,41,01k,01k,18512,244339,Verb
remember,remember,534,474,01k,01k,18466,26056,Verb
sir,sir,535,657,01k,01k,18456,18530,Noun
decision,decision,536,478,01k,01k,18440,25923,Noun
indeed,indeed,537,660,01k,01k,18434,18434,Adv
data,data,538,659,01k,01k,18424,18484,Noun
value,value,539,336,01k,01k,18414,34656,Noun
authority,authority,540,385,01k,01k,18346,31229,Noun
similar,similar,541,495,01k,01k,18334,24820,Adj
town,town,542,543,01k,01k,18276,22868,Noun
role,role,543,589,01k,01k,18266,21009,Noun
reason,reason,544,266,01k,01k,18252,41474,Noun
th,th,545,672,01k,01k,18205,18205,Noun
cases,case,546,145,01k,01k,18188,63902,Noun
certainly,certain,547,231,01k,01k,18125,46457,Adv
states,states,548,670,01k,01k,18054,18256,Noun
hands,hand,549,151,01k,01k,18021,62261,Noun
date,date,550,517,01k,01k,18017,24020,Noun
union,union,551,494,01k,01k,18000,24910,Noun
tax,tax,552,502,01k,01k,17997,24693,Noun
saying,say,553,31,01k,01k,17966,320400,Verb
private,private,554,634,01k,01k,17931,19241,Adj
nature,nature,555,301,01k,01k,17927,38034,Noun
bank,bank,556,430,01k,01k,17922,28750,Noun
necessary,necessary,557,480,01k,01k,17875,25779,Adj
true,TRUE,558,576,01k,01k,17803,21448,Adj
trying,try,559,186,01k,01k,17799,55212,Verb
someone,some,560,35,01k,01k,17790,273968,Pron
everything,every,561,108,01k,01k,17768,80820,Pron
companies,company,562,115,01k,01k,17760,74770,Noun
president,president,563,592,01k,01k,17703,20722,Noun
minutes,minute,564,414,01k,01k,17666,29613,Noun
